DATE,ExImValueOfGoods
1990-01-31,5407.0
1990-10-31,10435.0
1990-11-30,10678.0
1990-12-31,16422.0
1990-02-28,6777.0
1990-03-31,8577.0
1990-04-30,9106.0
1990-05-31,9541.0
1990-06-30,9356.0
1990-07-31,9519.0
1990-08-31,10105.0
1990-09-30,9524.0
1991-01-31,7049.0
1991-10-31,11524.0
1991-11-30,12394.0
1991-12-31,19038.0
1991-02-28,7183.0
1991-03-31,10241.0
1991-04-30,10485.0
1991-05-31,11111.0
1991-06-30,11121.0
1991-07-31,11663.0
1991-08-31,12078.0
1991-09-30,11815.0
1992-01-31,6999.0
1992-10-31,14801.0
1992-11-30,16162.0
1992-12-31,24666.0
1992-02-29,9770.0
1992-03-31,11900.0
1992-04-30,12461.0
1992-05-31,12961.0
1992-06-30,14498.0
1992-07-31,13433.0
1992-08-31,14264.0
1992-09-30,13906.0
1993-01-31,6557.0
1993-10-31,16700.0
1993-11-30,18496.0
1993-12-31,31568.0
1993-02-28,12298.0
1993-03-31,14487.0
1993-04-30,14395.0
1993-05-31,15713.0
1993-06-30,14326.0
1993-07-31,16389.0
1993-08-31,16388.0
1993-09-30,18942.0
1994-01-31,10511.0
1994-10-31,19800.0
1994-11-30,23000.0
1994-12-31,36446.0
1994-02-28,11587.0
1994-03-31,17400.0
1994-04-30,18350.0
1994-05-31,18919.0
1994-06-30,20800.0
1994-07-31,19961.0
1994-08-31,20250.0
1994-09-30,19700.0
1995-01-31,15688.719
1995-10-31,23319.27
1995-11-30,24225.681
1995-12-31,35717.293
1995-02-28,16028.346
1995-03-31,23125.509
1995-04-30,22256.56
1995-05-31,24329.911
1995-06-30,24995.49
1995-07-31,23400.996
1995-08-31,24119.323
1995-09-30,23720.715
1996-01-31,19297.126
1996-10-31,26527.628
1996-11-30,25242.647
1996-12-31,38357.919
1996-02-29,16791.091
1996-03-31,21542.159
1996-04-30,22307.55
1996-05-31,24165.096
1996-06-30,23174.458
1996-07-31,23730.445
1996-08-31,25273.35
1996-09-30,23713.3
1997-01-31,21669.142
1997-10-31,30658.245
1997-11-30,28848.905
1997-12-31,38268.859
1997-02-28,17575.612
1997-03-31,25144.515
1997-04-30,26014.707
1997-05-31,26750.723
1997-06-30,26593.176
1997-07-31,28336.81
1997-08-31,27097.799
1997-09-30,28043.081
1998-01-31,21370.305
1998-10-31,26382.41
1998-11-30,27473.157
1998-12-31,37679.866
1998-02-28,21150.385
