DATE,M2
1978-01-31,
1978-02-28,
1978-03-31,
1978-04-30,
1978-05-31,
1978-06-30,
1978-07-31,
1978-08-31,
1978-09-30,
1978-10-31,
1978-11-30,
1978-12-31,
1979-01-31,
1979-02-28,
1979-03-31,
1979-04-30,
1979-05-31,
1979-06-30,
1979-07-31,
1979-08-31,
1979-09-30,
1979-10-31,
1979-11-30,
1979-12-31,
1980-01-31,
1980-02-29,
1980-03-31,
1980-04-30,
1980-05-31,
1980-06-30,
1980-07-31,
1980-08-31,
1980-09-30,
1980-10-31,
1980-11-30,
1980-12-31,
1981-01-31,
1981-02-28,
1981-03-31,
1981-04-30,
1981-05-31,
1981-06-30,
1981-07-31,
1981-08-31,
1981-09-30,
1981-10-31,
1981-11-30,
1981-12-31,
1982-01-31,
1982-02-28,
1982-03-31,
1982-04-30,
1982-05-31,
1982-06-30,
1982-07-31,
1982-08-31,
1982-09-30,
1982-10-31,
1982-11-30,
1982-12-31,
1983-01-31,
1983-02-28,
1983-03-31,
1983-04-30,
1983-05-31,
1983-06-30,
1983-07-31,
1983-08-31,
1983-09-30,
1983-10-31,
1983-11-30,
1983-12-31,
1984-01-31,
1984-02-29,
1984-03-31,
1984-04-30,
1984-05-31,
1984-06-30,
1984-07-31,
1984-08-31,
1984-09-30,
1984-10-31,
1984-11-30,
1984-12-31,
1985-01-31,
1985-02-28,
1985-03-31,
1985-04-30,
1985-05-31,
1985-06-30,
1985-07-31,
1985-08-31,
1985-09-30,
1985-10-31,
1985-11-30,
1985-12-31,519890.0
1986-01-31,
1986-02-28,
1986-03-31,
1986-04-30,
1986-05-31,
1986-06-30,
1986-07-31,
1986-08-31,
1986-09-30,
1986-10-31,
1986-11-30,
1986-12-31,672090.0
1987-01-31,
1987-02-28,
1987-03-31,
1987-04-30,
1987-05-31,
1987-06-30,
1987-07-31,
1987-08-31,
1987-09-30,
1987-10-31,
1987-11-30,
1987-12-31,833090.0
1988-01-31,
1988-02-29,
1988-03-31,
1988-04-30,
1988-05-31,
1988-06-30,
1988-07-31,
1988-08-31,
1988-09-30,
1988-10-31,
1988-11-30,
1988-12-31,1009980.0
1989-01-31,
1989-02-28,
1989-03-31,
1989-04-30,
1989-05-31,
1989-06-30,
1989-07-31,
1989-08-31,
1989-09-30,
1989-10-31,
1989-11-30,
1989-12-31,1194960.0
1990-01-31,
1990-02-28,
1990-03-31,
1990-04-30,
1990-05-31,
1990-06-30,
1990-07-31,
1990-08-31,
1990-09-30,
1990-10-31,
1990-11-30,
1990-12-31,1529340.0
1991-01-31,
1991-02-28,
1991-03-31,
1991-04-30,
1991-05-31,
1991-06-30,
1991-07-31,
1991-08-31,
1991-09-30,
1991-10-31,
1991-11-30,
1991-12-31,1934990.0
1992-01-31,
1992-02-29,
1992-03-31,
1992-04-30,
1992-05-31,
1992-06-30,
1992-07-31,
1992-08-31,
1992-09-30,
1992-10-31,
1992-11-30,
1992-12-31,2540220.0
1993-01-31,
1993-02-28,
1993-03-31,
1993-04-30,
1993-05-31,
1993-06-30,
1993-07-31,
1993-08-31,
1993-09-30,
1993-10-31,
1993-11-30,
1993-12-31,3487980.0
1994-01-31,
1994-02-28,
1994-03-31,
1994-04-30,
1994-05-31,
1994-06-30,
1994-07-31,
1994-08-31,
1994-09-30,
1994-10-31,
1994-11-30,
1994-12-31,4692350.0
1995-01-31,
1995-02-28,
1995-03-31,
1995-04-30,
1995-05-31,
1995-06-30,
1995-07-31,
1995-08-31,
1995-09-30,
1995-10-31,
1995-11-30,
1995-12-31,6075050.0
1996-01-31,5840100.0
1996-02-29,6377800.0
1996-03-31,6451100.0
1996-04-30,6572300.0
1996-05-31,6688000.0
1996-06-30,6813200.0
1996-07-31,6934600.0
1996-08-31,7230900.0
1996-09-30,6964300.0
1996-10-31,7315220.0
1996-11-30,7414200.0
1996-12-31,7726500.0
1997-01-31,7864800.0
1997-02-28,7899800.0
1997-03-31,7988900.0
1997-04-30,8081800.0
1997-05-31,8115100.0
1997-06-30,8278900.0
1997-07-31,8346000.0
1997-08-31,8474600.0
1997-09-30,8589200.0
1997-10-31,8664400.0
1997-11-30,8759000.0
1997-12-31,9063183.0
1998-01-31,9218000.0
1998-02-28,9202370.0
1998-03-31,9201500.0
1998-04-30,9266150.0
1998-05-31,9393610.0
1998-06-30,9465760.0
1998-07-31,9631390.0
1998-08-31,9729870.0
1998-09-30,9979450.0
1998-10-31,10087520.0
1998-11-30,10222920.0
1998-12-31,10449850.0
1999-01-31,10550030.0
1999-02-28,10777840.0
1999-03-31,10843820.0
1999-04-30,10921830.0
1999-05-31,11006090.0
1999-06-30,11136350.0
1999-07-31,11141410.0
1999-08-31,11282700.0
1999-09-30,11507930.0
1999-10-31,11538960.0
1999-11-30,11655930.0
1999-12-31,11763810.0
2000-01-31,11890780.0
2000-02-29,11935360.0
2000-03-31,12039958.0
2000-04-30,12191477.0
2000-05-31,12190265.0
2000-06-30,12448678.0
2000-07-31,12419278.0
2000-08-31,12567326.0
2000-09-30,12835261.0
2000-10-31,12743253.0
2000-11-30,12888740.0
2000-12-31,13248752.0
2001-01-31,13568599.0
2001-02-28,13439049.0
2001-03-31,13691512.0
2001-04-30,13812103.0
2001-05-31,13721927.0
2001-06-30,14188560.0
2001-07-31,14007648.0
2001-08-31,14378730.0
2001-09-30,15182260.0
2001-10-31,14615758.0
2001-11-30,15408830.0
2001-12-31,15288850.0
2002-01-31,15785345.0
2002-02-28,15918297.0
2002-03-31,16230093.0
2002-04-30,16282522.0
2002-05-31,16426836.0
2002-06-30,16786941.0
2002-07-31,16912295.0
2002-08-31,17152420.0
2002-09-30,17525487.0
2002-10-31,17553474.0
2002-11-30,17801843.0
2002-12-31,18324694.0
2003-01-31,18891838.0
2003-02-28,18844437.0
2003-03-31,19283244.0
2003-04-30,19447698.0
2003-05-31,19781196.0
2003-06-30,20307174.0
2003-07-31,20438110.0
2003-08-31,20869240.0
2003-09-30,21161150.0
2003-10-31,21250540.0
2003-11-30,21435884.0
2003-12-31,21922681.0
2004-01-31,22510193.0
2004-02-29,22705072.0
2004-03-31,23165460.0
2004-04-30,23362786.0
2004-05-31,23484240.0
2004-06-30,23842749.0
2004-07-31,23484240.0
2004-08-31,23972919.0
2004-09-30,24375700.0
2004-10-31,24374000.0
