DATE,MMBenchmarkRate
1997-10-10,9.0
1997-10-13,9.0
1997-10-14,9.0
1997-10-15,9.0
1997-10-16,9.0
1997-10-17,9.0
1997-10-20,9.0
1997-10-21,9.0
1997-10-22,9.0
1997-10-23,9.0
1997-10-24,9.0
1997-10-27,9.12
1997-10-28,9.12
1997-10-29,9.12
1997-10-30,8.4
1997-10-31,8.4
1997-10-05,9.0
1997-10-06,9.0
1997-10-07,9.0
1997-10-08,9.0
1997-10-09,9.0
1997-11-10,8.4
1997-11-11,8.52
1997-11-12,8.52
1997-11-13,8.52
1997-11-14,8.52
1997-11-17,8.52
1997-11-18,8.55
1997-11-19,8.55
1997-11-20,8.55
1997-11-21,8.52
1997-11-24,8.52
1997-11-25,8.5425
1997-11-26,8.5425
1997-11-27,8.5425
1997-11-28,8.5425
1997-11-03,8.4
1997-11-04,8.4
1997-11-05,8.4
1997-11-06,8.4
1997-11-07,8.4
1997-12-01,8.5425
1997-12-10,9.54
1997-12-11,9.54
1997-12-12,9.54
1997-12-15,9.54
1997-12-16,9.54
1997-12-17,9.54
1997-12-18,9.54
1997-12-19,9.54
1997-12-02,8.5425
1997-12-22,9.54
1997-12-23,9.54
1997-12-24,9.54
1997-12-25,9.54
1997-12-26,9.54
1997-12-29,9.54
1997-12-03,8.5425
1997-12-30,9.54
1997-12-31,9.54
1997-12-04,9.54
1997-12-05,9.54
1997-12-08,9.54
1997-12-09,9.54
1997-06-20,10.23
1997-06-23,10.23
1997-06-24,10.23
1997-06-25,10.23
1997-06-26,10.23
1997-06-27,10.23
1997-06-28,10.8
1997-07-10,10.8
1997-07-11,10.8
1997-07-14,10.8
1997-07-15,10.8
1997-07-16,10.8
1997-07-17,10.8
1997-07-18,10.8
1997-07-02,10.8
1997-07-21,10.8
1997-07-22,10.8
1997-07-23,10.8
1997-07-24,10.8
1997-07-25,10.8
1997-07-28,10.8
1997-07-29,10.8
1997-07-03,10.8
1997-07-30,10.8
1997-07-31,10.8
1997-07-04,10.8
1997-07-07,10.8
1997-07-08,10.8
1997-07-09,10.8
1997-08-01,10.8
1997-08-11,9.0
1997-08-12,9.0
1997-08-13,9.0
1997-08-14,9.0
1997-08-15,9.0
1997-08-18,9.0
1997-08-19,9.0
1997-08-20,9.0
1997-08-21,9.0
1997-08-22,9.0
1997-08-25,9.0
1997-08-26,9.0
1997-08-27,9.0
1997-08-28,9.0
1997-08-29,9.0
1997-08-04,10.8
1997-08-05,9.0
1997-08-06,9.0
1997-08-07,9.0
1997-08-08,9.0
1997-09-01,9.0
1997-09-10,9.0
1997-09-11,9.0
1997-09-12,9.0
1997-09-15,9.0
1997-09-16,9.0
1997-09-17,9.0
1997-09-18,9.0
1997-09-19,9.0
1997-09-02,9.0
1997-09-22,9.0
1997-09-23,9.0
1997-09-24,9.0
1997-09-25,9.0
1997-09-26,9.0
1997-09-29,9.0
1997-09-03,9.0
1997-09-30,9.0
1997-09-04,9.0
1997-09-05,9.0
1997-09-08,9.0
1997-09-09,9.0
1998-01-12,8.4
1998-01-13,8.64
1998-01-14,8.64
1998-01-15,8.64
1998-01-16,8.64
1998-01-19,8.64
1998-01-20,8.6
1998-01-21,8.6
1998-01-22,8.7
1998-01-23,8.7
1998-01-24,8.7
1998-01-25,8.7
1998-01-26,8.7
1998-01-27,8.7
1998-01-04,9.54
1998-01-05,9.54
1998-01-06,9.54
1998-01-07,9.54
1998-01-08,8.4
1998-01-09,8.6204
1998-10-12,4.75
1998-10-13,4.75
1998-10-14,4.66
1998-10-15,4.81
1998-10-16,4.81
1998-10-19,4.71
1998-10-20,4.7
1998-10-21,4.69
1998-10-22,4.746
1998-10-23,4.6
1998-10-26,4.72
1998-10-27,4.7
1998-10-28,4.7
1998-10-29,4.7
1998-10-30,4.7
1998-10-05,5.01
1998-10-06,4.725
1998-10-07,4.725
1998-10-08,4.9
1998-10-09,4.8
1998-11-10,4.74
1998-11-11,4.52
1998-11-12,4.6069
1998-11-13,4.65
1998-11-16,4.7
1998-11-17,4.5733
1998-11-18,4.5733
1998-11-19,4.5299
1998-11-02,4.6
1998-11-20,4.5176
1998-11-23,4.55
1998-11-24,4.5307
1998-11-25,4.44
1998-11-26,4.44
1998-11-27,4.44
1998-11-03,4.7625
1998-11-30,4.5
1998-11-04,4.75
1998-11-05,4.77
1998-11-06,4.74
1998-11-09,4.74
1998-12-01,4.46
1998-12-10,4.05
1998-12-11,4.03
1998-12-14,4.03
1998-12-15,4.0
1998-12-16,4.0
1998-12-17,4.0425
1998-12-18,4.0053
1998-12-02,4.46
1998-12-21,4.0414
1998-12-22,4.0404
1998-12-23,4.05
1998-12-24,4.0506
1998-12-25,4.0276
1998-12-28,4.05
1998-12-29,4.08
1998-12-03,4.46
1998-12-30,4.05
1998-12-31,4.01
1998-12-04,4.5464
1998-12-07,4.0385
1998-12-08,4.08
1998-12-09,4.0493
1998-02-10,8.7
1998-02-11,8.58
1998-02-12,8.58
1998-02-13,8.58
1998-02-16,8.67
1998-02-17,8.6
1998-02-18,8.58
1998-02-19,8.58
1998-02-20,8.58
1998-02-23,8.58
1998-02-24,8.58
1998-02-25,8.58
1998-02-26,8.58
1998-02-27,8.58
1998-02-04,8.7
1998-02-05,8.7
1998-02-06,8.7
1998-02-09,8.7
1998-03-10,8.64
1998-03-11,8.64
1998-03-12,8.64
1998-03-13,8.64
1998-03-16,8.64
1998-03-17,8.64
1998-03-18,8.64
1998-03-19,8.64
1998-03-02,8.58
1998-03-20,8.64
1998-03-23,8.58
1998-03-24,8.58
1998-03-25,8.58
1998-03-26,8.58
1998-03-27,8.58
1998-03-03,8.58
1998-03-30,7.02
1998-03-31,7.02
1998-03-04,8.58
1998-03-05,8.7
1998-03-06,8.7
1998-03-09,8.7
1998-04-01,7.02
1998-04-10,7.2
1998-04-13,7.2
