DATE,TotalLiability
1993-03-31,
1993-06-30,
1993-09-30,
1993-12-31,
1994-03-31,
1994-06-30,
1994-09-30,
1994-12-31,
1995-03-31,
1995-06-30,
1995-09-30,
1995-12-31,
1996-03-31,
1996-06-30,
1996-09-30,
1996-12-31,
1997-03-31,
1997-06-30,
1997-09-30,
1997-12-31,
1998-03-31,
1998-06-30,
1998-09-30,
1998-12-31,
1999-03-31,
1999-06-30,
1999-09-30,
1999-12-31,
2000-01-31,
2000-02-29,
2000-03-31,
2000-04-30,
2000-05-31,
2000-06-30,
2000-07-31,
2000-08-31,
2000-09-30,
2000-10-31,
2000-11-30,
2000-12-31,
2001-01-31,
2001-02-28,
2001-03-31,
2001-04-30,
2001-05-31,
2001-06-30,
2001-07-31,
2001-08-31,
2001-09-30,
2001-10-31,
2001-11-30,
2001-12-31,
2002-01-31,4531103.0
2002-02-28,4595295.0
2002-03-31,4656360.0
2002-04-30,4744911.0
2002-05-31,4676810.0
2002-06-30,4615840.0
2002-07-31,4712708.0
2002-08-31,4774736.0
2002-09-30,4782170.0
2002-10-31,4862432.0
2002-11-30,4909617.0
2002-12-31,5068450.0
2003-01-31,5233655.0
2003-02-28,5217884.0
2003-03-31,5237370.0
2003-04-30,5469462.0
2003-05-31,5374383.0
2003-06-30,5385050.0
2003-07-31,5508441.0
2003-08-31,5674345.0
2003-09-30,5749830.0
2003-10-31,5940514.0
2003-11-30,5996924.0
2003-12-31,6152150.0
2004-01-31,6413289.0
2004-02-29,6364338.0
2004-03-31,6405340.0
2004-04-30,6664127.0
2004-05-31,6560602.0
2004-06-30,6834010.0
2004-07-31,6970241.0
2004-08-31,7039766.0
2004-09-30,7110940.0
2004-10-31,7341888.0
2004-11-30,7658626.0
2004-12-31,7809310.0
2005-01-31,8045094.0
2005-02-28,8166789.0
2005-03-31,8304910.0
2005-04-30,8470608.0
2005-05-31,8668909.0
2005-06-30,9256680.0
2005-07-31,9505485.0
2005-08-31,9664348.0
2005-09-30,9884450.0
2005-10-31,10043056.0
2005-11-30,10179550.0
2005-12-31,10367600.0
2006-01-31,10826230.0
2006-02-28,10800058.0
2006-03-31,10975800.0
2006-04-30,11036795.0
2006-05-31,11237792.0
2006-06-30,11590580.0
2006-07-31,11587910.0
2006-08-31,11797400.0
2006-09-30,11973960.0
2006-10-31,12188985.0
2006-11-30,12430645.0
2006-12-31,12857470.0
2007-01-31,13250777.0
2007-02-28,13559147.0
2007-03-31,13910830.0
2007-04-30,14228153.0
2007-05-31,14540506.0
2007-06-30,14810540.0
2007-07-31,15188099.0
2007-08-31,15460899.0
2007-09-30,15919720.0
2007-10-31,16120238.0
2007-11-30,16529999.0
2007-12-31,16913980.0
2008-01-31,17446287.0
2008-02-29,17806189.0
2008-03-31,18204780.0
2008-04-30,18744166.0
2008-05-31,19104846.0
2008-06-30,19410490.0
2008-07-31,19747292.0
2008-08-31,19926487.0
2008-09-30,20292440.0
2008-10-31,20445260.0
2008-11-30,20480057.0
2008-12-31,20709600.0
2009-01-31,20825512.0
2009-02-28,20961655.0
2009-03-31,21064270.0
2009-04-30,21227458.0
2009-05-31,21602278.0
2009-06-30,21578540.0
2009-07-31,21732630.0
2009-08-31,21856568.0
2009-09-30,22255090.0
2009-10-31,22499154.0
2009-11-30,22760714.0
2009-12-31,22753050.0
2010-01-31,23021471.0
2010-02-28,23176394.0
2010-03-31,23609070.0
2010-04-30,23992053.0
2010-05-31,24129600.0
2010-06-30,24293204.0
2010-07-31,24476985.0
2010-08-31,24612345.0
2010-09-30,24868390.0
2010-10-31,25368860.0
2010-11-30,25645374.0
2010-12-31,25927490.0
2011-01-31,26898879.05
2011-02-28,26605005.26
2011-03-31,26881810.0
2011-04-30,27176501.06
2011-05-31,27461212.47
2011-06-30,27807860.0
2011-07-31,28071343.75
2011-08-31,28264297.1
2011-09-30,28491220.0
2011-10-31,28573031.75
2011-11-30,28287721.14
2011-12-31,28097760.0
2012-01-31,29502405.12
2012-02-29,28327648.92
2012-03-31,28402240.0
2012-04-30,28355173.2
2012-05-31,28375473.99
2012-06-30,28607110.0
2012-07-31,28458027.21
2012-08-31,28597495.2
2012-09-30,28965780.0
2012-10-31,29230441.57
2012-11-30,28987739.25
2012-12-31,29453720.0
2013-01-31,29793156.536
2013-02-28,29817538.074
2013-03-31,29894042.7988
2013-04-30,30080084.3564
2013-05-31,30214534.2033
2013-06-30,30674110.1904
2013-07-31,30669716.1371
2013-08-31,30892590.0915
2013-09-30,31119120.3261
2013-10-31,31451730.2261
2013-11-30,31846915.0615
2013-12-31,31727855.3152
2014-01-31,33118151.3712
2014-02-28,32501976.5635
2014-03-31,32664720.5607
2014-04-30,32808025.9659
2014-05-31,32902322.4801
2014-06-30,32969859.5083
2014-07-31,33009155.8056
2014-08-31,33063420.839
2014-09-30,33626161.4462
2014-10-31,33928496.8646
2014-11-30,34022062.1993
2014-12-31,33824879.318
2015-01-31,33886804.6812
2015-02-28,34541081.7285
2015-03-31,34222554.6186
2015-04-30,34088827.794
2015-05-31,34076146.5992
2015-06-30,33707582.5831
2015-07-31,33519767.9005
2015-08-31,33338649.9827
2015-09-30,32603888.4512
2015-10-31,32731384.3529
2015-11-30,32625256.6373
2015-12-31,31783696.815
2016-01-31,33703883.6464
2016-02-29,33584307.0879
2016-03-31,32621645.9962
2016-04-30,32908888.8163
2016-05-31,33027413.1825
2016-06-30,33814215.8087
2016-07-31,33531395.044
2016-08-31,33393624.9212
2016-09-30,33495042.592
2016-10-31,34205804.3357
2016-11-30,33973952.1097
2016-12-31,34371158.573
2017-01-31,34826765.2895
2017-02-28,34546965.9331
2017-03-31,33735368.4182
2017-04-30,34129685.0607
2017-05-31,34248522.0845
2017-06-30,34502561.7125
2017-07-31,35061010.5091
2017-08-31,34714440.0047
2017-09-30,34999656.0308
2017-10-31,35887534.2432
2017-11-30,36247388.0639
2017-12-31,36293162.0
2018-01-31,35780020.0
2018-02-28,36252816.0
2018-03-31,35960840.0
2018-04-30,35322527.0
2018-05-31,35614944.0
2018-06-30,36270244.0
2018-07-31,36328297.0
2018-08-31,36261686.0
2018-09-30,36622975.0
2018-10-31,35833797.0
2018-11-30,35906994.0
2018-12-31,37249206.0
2019-01-31,36327181.8926
2019-02-28,35620938.5023
2019-03-31,34855262.9361
2019-04-30,34859242.1235
2019-05-31,35901472.2589
2019-06-30,36359527.4697
2019-07-31,35795286.8848
2019-08-31,36035290.3043
2019-09-30,36196676.2108
2019-10-31,35964047.6909
2019-11-30,36307535.5076
2019-12-31,37113048.2922
2020-01-31,37349510.1299
2020-02-29,36102126.152
2020-03-31,36537474.0
2020-04-30,36034767.0
2020-05-31,36787074.0
2020-06-30,36393130.0
2020-07-31,35792490.0
2020-08-31,36505229.0
2020-09-30,37472769.0
2020-10-31,37181272.0
2020-11-30,38198933.0
2020-12-31,38767554.0
2021-01-31,38913146.0
2021-02-28,38309317.0
2021-03-31,38277277.0
2021-04-30,38231547.0
2021-05-31,38691677.0
2021-06-30,38989736.0
2021-07-31,38050162.0
2021-08-31,37948747.0
2021-09-30,39197365.0
2021-10-31,39491935.0
2021-11-30,39311426.0
2021-12-31,39570225.0
2022-01-31,40312523.0
2022-02-28,40622900.0
