CODES,DATES,SeqOpenPrice,SeqClosePrice,SeqHighPrice,SeqLowPrice,SeqAvgPrice,SeqRiseAndFall,SeqUpAndDowns,SeqTurnoverVolume,SeqTurnoverValue,SeqTurnoverRate,SeqPrevClosePrice
000159.SZ,2010-01-04,8.58,8.58,8.58,8.58,,0.0,0.0,0.0,0.0,,8.58
000159.SZ,2010-01-05,8.58,8.58,8.58,8.58,,0.0,0.0,0.0,0.0,,8.58
000159.SZ,2010-01-06,8.58,8.58,8.58,8.58,,0.0,0.0,0.0,0.0,,8.58
000159.SZ,2010-01-07,8.58,8.58,8.58,8.58,,0.0,0.0,0.0,0.0,,8.58
000159.SZ,2010-01-08,9.195,8.56,9.195,8.545,8.842162,-0.2331,-0.02,21135047.0,407786453.48,8.785417,8.58
000159.SZ,2010-01-11,8.495,8.155,8.515,7.945,8.24177,-4.731308,-0.405,11204263.0,202724790.41,4.657388,8.56
000159.SZ,2010-01-12,8.175,8.285,8.365,8.135,8.202701,1.594114,0.13,12151427.0,218912844.66,5.051106,8.155
000159.SZ,2010-01-13,8.13,7.77,8.145,7.7,7.937295,-6.216053,-0.515,12218225.0,213630643.27,5.078872,8.285
000159.SZ,2010-01-14,7.825,8.045,8.07,7.745,7.91855,3.539254,0.275,7459532.0,130147205.25,3.100779,7.77
000159.SZ,2010-01-15,7.985,8.145,8.17,7.885,8.061201,1.243008,0.1,6138650.0,108853007.88,2.551714,8.045
000159.SZ,2010-01-18,8.12,8.225,8.24,8.09,8.195517,0.982198,0.08,6716434.0,120902756.39,2.791888,8.145
000159.SZ,2010-01-19,8.225,8.31,8.44,8.195,8.336162,1.033435,0.085,7357391.0,134510200.67,3.058321,8.225
000159.SZ,2010-01-20,8.31,7.735,8.36,7.695,7.944131,-6.919374,-0.575,9148162.0,160076938.19,3.802708,8.31
000159.SZ,2010-01-21,7.71,7.76,7.88,7.71,7.775141,0.323206,0.025,3395466.0,58267156.29,1.411427,7.735
000159.SZ,2010-01-22,7.71,7.395,7.71,7.2,7.391883,-4.703608,-0.365,5502549.0,90207505.12,2.2873,7.76
000159.SZ,2010-01-25,7.375,7.305,7.43,7.22,7.322521,-1.217039,-0.09,2118415.0,34434922.98,0.880583,7.395
